 Argentina,Gonzalo Longo,1 try,https://en.wikipedia.org/wiki/Gonzalo_Longo
 Argentina,Rolando Martin,1 try,https://en.wikipedia.org/wiki/Rolando_Martin
 Argentina,Federico Méndez,1 try,https://en.wikipedia.org/wiki/Federico_M%C3%A9ndez
 Argentina,Lucas Noguera Paz,1 try,https://en.wikipedia.org/wiki/Lucas_Noguera_Paz
 Argentina,Patricio Noriega,1 try,https://en.wikipedia.org/wiki/Patricio_Noriega
 Argentina,Juan Pablo Orlandi,1 try,https://en.wikipedia.org/wiki/Juan_Pablo_Orlandi
 Argentina,Guido Petti Pagadizábal,1 try,https://en.wikipedia.org/wiki/Guido_Petti_Pagadiz%C3%A1bal
 Argentina,Rodrigo Roncero,1 try,https://en.wikipedia.org/wiki/Rodrigo_Roncero
 Argentina,Nicolás Sánchez,1 try,https://en.wikipedia.org/wiki/Nicol%C3%A1s_S%C3%A1nchez_(rugby_union)
 Argentina,Leonardo Senatore,1 try,https://en.wikipedia.org/wiki/Leonardo_Senatore
 Argentina,Hernán Simon,1 try,https://en.wikipedia.org/w/index.php?title=Hern%C3%A1n_Simon&action=edit&redlink=1
 Argentina,Gonzalo Tiesi,1 try,https://en.wikipedia.org/wiki/Gonzalo_Tiesi
 Argentina,Federico Todeschini,1 try,https://en.wikipedia.org/wiki/Federico_Todeschini
 Australia,Drew Mitchell,14 tries,https://en.wikipedia.org/wiki/Drew_Mitchell
 Australia,Adam Ashley-Cooper,11 tries,https://en.wikipedia.org/wiki/Adam_Ashley-Cooper
 Australia,Chris Latham,11 tries,https://en.wikipedia.org/wiki/Chris_Latham_(rugby_player)
 Australia,David Campese,10 tries,https://en.wikipedia.org/wiki/David_Campese
 Australia,Matt Giteau,8 tries,https://en.wikipedia.org/wiki/Matt_Giteau
 Australia,Joe Roff,7 tries,https://en.wikipedia.org/wiki/Joe_Roff
 Australia,Matt Burke,6 tries,https://en.wikipedia.org/wiki/Matt_Burke
 Australia,Tim Horan,6 tries,https://en.wikipedia.org/wiki/Tim_Horan
 Australia,Lote Tuqiri,6 tries,https://en.wikipedia.org/wiki/Lote_Tuqiri
 Australia,Berrick Barnes,5 tries,https://en.wikipedia.org/wiki/Berrick_Barnes
 Australia,Matthew Burke,5 tries,https://en.wikipedia.org/wiki/Matthew_P._Burke
 Australia,Stirling Mortlock,5 tries,https://en.wikipedia.org/wiki/Stirling_Mortlock
 Australia,David Pocock,5 tries,https://en.wikipedia.org/wiki/David_Pocock
 Australia,Mat Rogers,5 tries,https://en.wikipedia.org/wiki/Mat_Rogers
 Australia,Rocky Elsom,4 tries,https://en.wikipedia.org/wiki/Rocky_Elsom
 Australia,Michael Lynagh,4 tries,https://en.wikipedia.org/wiki/Michael_Lynagh
 Australia,Ben McCalman,4 tries,https://en.wikipedia.org/wiki/Ben_McCalman
 Australia,George Smith,4 tries,https://en.wikipedia.org/wiki/George_Smith_(rugby_union)
 Australia,George Gregan,3 tries,https://en.wikipedia.org/wiki/George_Gregan
 Australia,Toutai Kefu,3 tries,https://en.wikipedia.org/wiki/Toutai_Kefu
 Australia,Tevita Kuridrani,3 tries,https://en.wikipedia.org/wiki/Tevita_Kuridrani
 Australia,Stephen Larkham,3 tries,https://en.wikipedia.org/wiki/Stephen_Larkham
 Australia,Andrew Slack,3 tries,https://en.wikipedia.org/wiki/Andrew_Slack
 Australia,Ben Tune,3 tries,https://en.wikipedia.org/wiki/Ben_Tune
 Australia,David Codey,2 tries,https://en.wikipedia.org/wiki/David_Codey
 Australia,Anthony Fainga'a,2 tries,https://en.wikipedia.org/wiki/Anthony_Fainga%27a
 Australia,Bernard Foley,2 tries,https://en.wikipedia.org/wiki/Bernard_Foley
 Australia,Michael Foley,2 tries,https://en.wikipedia.org/wiki/Michael_Foley_(rugby_union)
 Australia,Adam Freier,2 tries,https://en.wikipedia.org/wiki/Adam_Freier
 Australia,Peter Grigg,2 tries,https://en.wikipedia.org/wiki/Peter_Grigg
 Australia,Phil Kearns,2 tries,https://en.wikipedia.org/wiki/Phil_Kearns
 Australia,Andrew Leeds,2 tries,https://en.wikipedia.org/wiki/Andrew_Leeds
 Australia,David Lyons,2 tries,"https://en.wikipedia.org/wiki/David_Lyons_(rugby_union,_born_1980)"
 Australia,Sean McMahon,2 tries,https://en.wikipedia.org/wiki/Sean_McMahon
 Australia,Marty Roebuck,2 tries,https://en.wikipedia.org/wiki/Marty_Roebuck
 Australia,Brian Smith,2 tries,"https://en.wikipedia.org/wiki/Brian_Smith_(rugby,_born_1966)"
 Australia,Damian Smith,2 tries,https://en.wikipedia.org/wiki/Damian_Smith_(rugby_union)
 Australia,Morgan Turinui,2 tries,https://en.wikipedia.org/wiki/Morgan_Turinui
